date,weather,market,weather_lag_1,weather_lag_2,market_lag_1,market_lag_2,rolling_corr
2023-12-14,1,0.005323736371606274,1.0,1.0,0.005659720934863886,0.004920824372665742,-0.35530807625384353
2023-12-15,1,0.004408643229839008,1.0,1.0,0.005323736371606274,0.005659720934863886,-0.34218353528835826
2023-12-18,0,0.004244932228127971,1.0,1.0,0.004408643229839008,0.005323736371606274,-0.2810027410319392
2023-12-19,1,0.004251007134510841,0.0,1.0,0.004244932228127971,0.004408643229839008,-0.28081235963006707
2023-12-20,1,0.00862182734213454,1.0,0.0,0.004251007134510841,0.004244932228127971,-0.23015783742605617
2023-12-21,1,0.009123269711255617,1.0,1.0,0.00862182734213454,0.004251007134510841,-0.17361962782942564
2023-12-22,1,0.007868176442552161,1.0,1.0,0.009123269711255617,0.00862182734213454,-0.10970293764463054
2023-12-26,0,0.007930461252865612,1.0,1.0,0.007868176442552161,0.009123269711255617,-0.08955105206228706
2023-12-27,0,0.00789491193254296,0.0,1.0,0.007930461252865612,0.007868176442552161,-0.14273827428276908
2023-12-28,0,0.007820704431502156,0.0,0.0,0.00789491193254296,0.007930461252865612,-0.12022568400743801
2023-12-29,0,0.007665396075579429,0.0,0.0,0.007820704431502156,0.00789491193254296,-0.09399684583453995
2024-01-02,1,0.005100429370823565,0.0,0.0,0.007665396075579429,0.007820704431502156,-0.03771981549279547
2024-01-03,1,0.0043978810505703285,1.0,0.0,0.005100429370823565,0.007665396075579429,0.02699327365286971
2024-01-04,1,0.004253184976223868,1.0,1.0,0.0043978810505703285,0.005100429370823565,-0.025027503197038278
2024-01-05,1,0.0037323266389283345,1.0,1.0,0.004253184976223868,0.0043978810505703285,-0.07710850755762261
2024-01-08,1,0.007267115177755236,1.0,1.0,0.0037323266389283345,0.004253184976223868,-0.007562773694552364
2024-01-09,1,0.0072630678116008375,1.0,1.0,0.007267115177755236,0.0037323266389283345,-0.037552435559974034
2024-01-10,0,0.007567418934783013,1.0,1.0,0.0072630678116008375,0.007267115177755236,-0.14409569845697692
2024-01-11,0,0.007119655628592735,0.0,1.0,0.007567418934783013,0.0072630678116008375,-0.15230916036163333
2024-01-12,1,0.005907448647829985,0.0,0.0,0.007119655628592735,0.007567418934783013,-0.12159296557451911
2024-01-16,1,0.005958133824799669,1.0,0.0,0.005907448647829985,0.007119655628592735,-0.07756730863931134
2024-01-17,1,0.0066875118835279575,1.0,1.0,0.005958133824799669,0.005907448647829985,-0.1548464245749637
2024-01-18,1,0.00510432030354822,1.0,1.0,0.0066875118835279575,0.005958133824799669,-0.24562184594497236
2024-01-19,1,0.006632153908032313,1.0,1.0,0.00510432030354822,0.0066875118835279575,-0.33472799837646827
2024-01-22,1,0.006484306381409493,1.0,1.0,0.006632153908032313,0.00510432030354822,-0.31175411823958576
2024-01-23,1,0.006378377065406007,1.0,1.0,0.006484306381409493,0.006632153908032313,-0.29628982817858734
2024-01-24,1,0.00637560118893178,1.0,1.0,0.006378377065406007,0.006484306381409493,-0.2812058735683463
2024-01-25,0,0.00578245305079733,1.0,1.0,0.00637560118893178,0.006378377065406007,-0.31086793197969487
2024-01-26,0,0.004620818489328808,0.0,1.0,0.00578245305079733,0.00637560118893178,-0.22055149303163418
2024-01-29,1,0.004448838575231746,0.0,0.0,0.004620818489328808,0.00578245305079733,-0.23354034761817297
2024-01-30,1,0.003051200340923209,1.0,0.0,0.004448838575231746,0.004620818489328808,-0.2504228747789225
